beta_0,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6,beta_7,beta_8,beta_9,height_cm,shoulder_width_cm,chest_circumference_cm,waist_circumference_cm,hip_circumference_cm,arm_length_cm,leg_length_cm
-5.0,-5.0,-5.0,-5.0,-5.0,0.0,-5.0,0.0,-5.0,5.0,229.19411659240723,48.6619234085083,82.08128213882446,43.36387515068054,85.39074659347534,67.39915907382965,143.0253803730011
-5.0,-5.0,-5.0,-5.0,-5.0,0.0,-5.0,0.0,0.0,-5.0,226.79471969604492,46.07927203178406,92.79856085777283,51.21985673904419,93.70112419128418,68.45727562904358,141.48002862930298
-5.0,-5.0,-5.0,-5.0,-5.0,0.0,-5.0,0.0,0.0,0.0,227.70240306854248,46.84545397758484,91.21893644332886,49.969568848609924,92.47990250587463,68.65064799785614,141.85837507247925
-5.0,-5.0,-5.0,-5.0,-5.0,0.0,-5.0,0.0,0.0,5.0,228.6782741546631,46.39870524406433,91.12200736999512,48.715513944625854,91.62436723709106,68.84883046150208,142.24072098731995
-5.0,-5.0,-5.0,-5.0,-5.0,0.0,-5.0,0.0,5.0,-5.0,226.28357410430908,43.40074956417084,100.89575052261353,56.995171308517456,99.5613694190979,69.9154943227768,140.71096777915955
-5.0,-5.0,-5.0,-5.0,-5.0,0.0,-5.0,0.0,5.0,0.0,227.22275257110596,44.40549612045288,99.00346398353577,55.664265155792236,98.9037573337555,70.10653018951416,141.08744263648987
-5.0,-5.0,-5.0,-5.0,-5.0,0.0,-5.0,0.0,5.0,5.0,228.17363739013672,43.48411560058594,97.18253016471863,54.590046405792236,96.39009237289429,70.30230462551117,141.46787524223328
-5.0,-5.0,-5.0,-5.0,-5.0,0.0,-5.0,5.0,-5.0,-5.0,227.67767906188965,48.08167517185211,94.33823823928833,42.86007583141327,97.03828692436218,67.13542640209198,142.35742688179016
-5.0,-5.0,-5.0,-5.0,-5.0,0.0,-5.0,5.0,-5.0,0.0,228.59318256378174,47.391390800476074,92.82979965209961,40.22699296474457,95.01456022262573,67.33482480049133,142.73978471755981
-5.0,-5.0,-5.0,-5.0,-5.0,0.0,-5.0,5.0,-5.0,5.0,229.54721450805664,47.91586399078369,90.77924489974976,39.445239305496216,93.67441534996033,67.53909885883331,143.12604069709778
-5.0,-5.0,-5.0,-5.0,-5.0,0.0,-5.0,5.0,0.0,-5.0,227.11291313171387,46.01220488548279,99.70098733901978,47.486597299575806,102.42890119552612,68.58825385570526,141.5686845779419
-5.0,-5.0,-5.0,-5.0,-5.0,0.0,-5.0,5.0,0.0,0.0,228.06880474090576,46.70942425727844,99.16250109672546,45.751628279685974,101.03833675384521,68.78519654273987,141.94927215576172
-5.0,-5.0,-5.0,-5.0,-5.0,0.0,-5.0,5.0,0.0,5.0,229.04257774353027,45.14564275741577,97.63041138648987,44.66094374656677,99.67609643936157,68.98694336414337,142.33373999595642
-5.0,-5.0,-5.0,-5.0,-5.0,0.0,-5.0,5.0,5.0,-5.0,226.62255764007568,45.10422348976135,107.98883438110352,52.88383960723877,108.6246132850647,70.04478573799133,140.79190492630005
-5.0,-5.0,-5.0,-5.0,-5.0,0.0,-5.0,5.0,5.0,0.0,227.56829261779785,44.43182349205017,105.99324703216553,51.157838106155396,107.22882747650146,70.23934125900269,141.17058515548706
-5.0,-5.0,-5.0,-5.0,-5.0,0.0,-5.0,5.0,5.0,5.0,228.537917137146,45.04376947879791,104.81235980987549,50.0277042388916,105.84468841552734,70.43863534927368,141.55310988426208
-5.0,-5.0,-5.0,-5.0,-5.0,0.0,0.0,-5.0,-5.0,-5.0,225.54335594177246,46.624407172203064,71.42705917358398,43.34392845630646,73.23650121688843,67.57482886314392,138.68213891983032
-5.0,-5.0,-5.0,-5.0,-5.0,0.0,0.0,-5.0,-5.0,0.0,226.4472484588623,45.70626616477966,69.50451731681824,42.45888888835907,71.0052490234375,67.76166260242462,139.0651285648346
-5.0,-5.0,-5.0,-5.0,-5.0,0.0,0.0,-5.0,-5.0,5.0,227.35116481781006,46.430808305740356,67.96404719352722,41.253575682640076,69.8556661605835,67.95332133769989,139.45228457450867
-5.0,-5.0,-5.0,-5.0,-5.0,0.0,0.0,-5.0,0.0,-5.0,224.96342658996582,43.93876791000366,77.7047336101532,48.89712929725647,77.89306640625,69.03627514839172,137.90223598480225
-5.0,-5.0,-5.0,-5.0,-5.0,0.0,0.0,-5.0,0.0,0.0,225.86734294891357,44.16476488113403,77.00312733650208,48.0426162481308,76.73482298851013,69.22083795070648,138.28348517417908
-5.0,-5.0,-5.0,-5.0,-5.0,0.0,0.0,-5.0,0.0,5.0,226.78117752075195,43.609437346458435,75.21514892578125,46.58068120479584,75.68089962005615,69.41015422344208,138.6688530445099
-5.0,-5.0,-5.0,-5.0,-5.0,0.0,0.0,-5.0,5.0,-5.0,224.44450855255127,41.681456565856934,86.21761798858643,55.021482706069946,83.6581826210022,70.50115168094635,137.1346890926361
-5.0,-5.0,-5.0,-5.0,-5.0,0.0,0.0,-5.0,5.0,0.0,225.34432411193848,41.58829152584076,84.63423252105713,53.96146774291992,82.42501020431519,70.6835150718689,137.51406073570251
-5.0,-5.0,-5.0,-5.0,-5.0,0.0,0.0,-5.0,5.0,5.0,226.28352642059326,40.72018265724182,82.94609785079956,52.50709056854248,81.4902663230896,70.87056636810303,137.89753317832947
-5.0,-5.0,-5.0,-5.0,-5.0,0.0,0.0,0.0,-5.0,-5.0,225.85530281066895,46.50945067405701,79.02989983558655,40.37749171257019,80.68908452987671,67.70011782646179,138.74692916870117
-5.0,-5.0,-5.0,-5.0,-5.0,0.0,0.0,0.0,-5.0,0.0,226.7591953277588,47.19685912132263,77.37082839012146,39.07037079334259,79.51648831367493,67.89053082466125,139.13209438323975
-5.0,-5.0,-5.0,-5.0,-5.0,0.0,0.0,0.0,-5.0,5.0,227.66308784484863,46.294790506362915,75.93096494674683,36.55038774013519,77.45562791824341,68.08578670024872,139.52128291130066
-5.0,-5.0,-5.0,-5.0,-5.0,0.0,0.0,0.0,0.0,-5.0,225.2753734588623,44.46048140525818,84.13059711456299,45.34968435764313,86.00710034370422,69.15992796421051,137.9589021205902
-5.0,-5.0,-5.0,-5.0,-5.0,0.0,0.0,0.0,0.0,0.0,226.17926597595215,44.497984647750854,82.66884088516235,44.03190016746521,84.65832471847534,69.34803426265717,138.34229111671448
-5.0,-5.0,-5.0,-5.0,-5.0,0.0,0.0,0.0,0.0,5.0,227.1369457244873,43.55984330177307,80.72821497917175,41.82399809360504,83.34499597549438,69.54089999198914,138.72966170310974
-5.0,-5.0,-5.0,-5.0,-5.0,0.0,0.0,0.0,5.0,-5.0,224.7375249862671,42.478713393211365,92.62325763702393,50.42125582695007,92.00955033302307,70.62320113182068,137.1830940246582
-5.0,-5.0,-5.0,-5.0,-5.0,0.0,0.0,0.0,5.0,0.0,225.67672729492188,41.58342182636261,91.00111722946167,49.25914406776428,90.6370222568512,70.80907821655273,137.5645637512207
-5.0,-5.0,-5.0,-5.0,-5.0,0.0,0.0,0.0,5.0,5.0,226.63404941558838,42.26079285144806,89.09609913825989,47.34015464782715,89.29745554924011,70.99964022636414,137.95000314712524
-5.0,-5.0,-5.0,-5.0,-5.0,0.0,0.0,5.0,-5.0,-5.0,226.16844177246094,47.715842723846436,86.54637336730957,37.24300265312195,88.77593874931335,67.82938241958618,138.84515762329102
-5.0,-5.0,-5.0,-5.0,-5.0,0.0,0.0,5.0,-5.0,0.0,227.07114219665527,47.16224670410156,84.82950925827026,36.272406578063965,86.94695234298706,68.02337169647217,139.2325222492218
-5.0,-5.0,-5.0,-5.0,-5.0,0.0,0.0,5.0,-5.0,5.0,228.00333499908447,45.69465517997742,83.42843651771545,35.34512519836426,84.94592905044556,68.22221577167511,139.6238148212433
